id,score,category,text
81,5,positive,"['kali', 'belanja', 'layan', 'cepat', 'barang', 'fresh', 'bagus', 'harga', 'relatif', 'sesuai', 'pasar', 'ada', 'promo', 'ya', 'moga', 'bisa', 'langgan', 'terus']"
82,5,positive,['segar']
83,5,positive,"['segar', 'mantap', 'belanja', 'mudah', 'hemat', 'diskon', 'irit', 'keluar', 'belanja', 'hari', 'moga', 'maju', 'kembang']"
84,5,positive,"['good', 'kirim', 'cepat', 'kurir', 'ramah']"
85,5,positive,"['kirim', 'cepat', 'sayur', 'segar']"
86,5,positive,"['sayur', 'daging', 'segar', 'puas', 'belanja', 'bantu', 'karir', 'seperti', 'batas', 'belanja', 'konvensional']"
87,5,positive,"['barangbarang', 'fresh', 'layan', 'bagus', 'kasih', 'voucher']"
88,5,positive,"['sayur', 'segar']"
89,5,positive,"['very', 'helpful']"
90,5,positive,"['puas', 'belanja', 'segariselalu', 'segar', 'baguspenjual', 'orang', 'tua', 'teman', 'anak', 'akujdinya', 'deh', 'kenal', 'langgan']"
91,5,positive,"['mantap', 'belanja', 'sini', 'moga', 'depan', 'selalu', 'amanah']"
92,5,positive,"['praktis', 'cepat', 'hemat', 'jamin', 'bersih', 'rumah', 'terima', 'kasih', 'segar', 'salam', 'sukses']"
93,5,positive,"['daerah', 'makassar', 'jabodetabek']"
94,5,positive,"['kemarin', 'order', 'oke', 'barang']"
95,5,positive,"['membantupengiriman', 'cepat']"
96,5,positive,"['belanja', 'mudah']"
97,2,negative,"['sebel', 'cs', 'segar', 'sekarang', 'lot', 'banget', 'tolong', 'ganti', 'nomor', 'kamar', 'enggak', 'terima', 'orang', 'bagaimana', 'kadang', 'cs', 'segar', 'emosi', 'pagi', 'cancel', 'dari', 'ribet', 'lagi', 'tolong', 'baik', 'lagi', 'prlayanan', 'cs']"
98,1,negative,"['lelet', 'barang', 'busuk', 'ayam', 'lendir', 'belanja', 'deh', 'kapookk']"
99,5,positive,"['mantap', 'pesan']"
100,5,positive,"['mantap', 'barang', 'terimakasih']"
101,5,positive,"['produk', 'dpesan', 'sedia', 'langsung', 'drefund', 'proses', 'cepat']"
102,5,positive,"['sumpaah', 'puas', 'banget', 'belanja', 'segar', 'produk', 'daging', 'bungkus', 'rapiiii', 'pakai', 'bubble', 'wrap', 'alumunium', 'foil', 'pakai', 'ice', 'pack', 'sampai', 'rumah', 'beku', 'kualitas', 'jaga', 'keren', 'banget', 'segar', 'goodjob']"
103,5,positive,"['panggah', 'oke', 'pakkkby', 'fitri', 'lampung']"
104,4,positive,"['kali', 'belanja', 'segarikalo', 'kirim', 'cepat', 'jam', 'sedia', 'fitur', 'cod']"
105,4,positive,['promo']
106,3,neutral,"['mau', 'coba']"
107,5,positive,['ok']
108,2,negative,"['tingkat', 'fitur', 'tracking', 'pesan', 'beli', 'tahap', 'barang', 'proses', 'driver', 'siap']"
109,5,positive,"['muas', 'belanja', 'gari']"
110,5,positive,"['terimakasih', 'bantu', 'segaridi', 'belanja', 'rumah', 'tinggal', 'pesan', 'pokok', 'top', 'markotop', 'produk', 'kuplit', 'segar', 'bagus', 'banget']"
111,3,neutral,"['produk', 'segar', 'jogja']"
112,5,positive,"['mantap', 'banget', 'sesuai', 'janji', 'barang', 'jam', 'tapi', 'belum', 'jam']"
113,5,positive,"['produk', 'sayur', 'sama', 'buah', 'fresh', 'banget', 'pilih', 'aku', 'enggak', 'pergi', 'belanja', 'pasar']"
114,1,negative,"['download', 'jelajah', 'aplikasi', 'try', 'again', 'sistem']"
115,5,positive,"['susah', 'update']"
116,1,negative,"['pesan', 'antar', 'jam', 'hahaaaa', 'gila']"
117,5,positive,"['mantap', 'pokok', 'mah']"
118,2,negative,"['belanja', 'kali', 'segar', 'mitra', 'beda', 'beli', 'kali', 'tuju', 'promo', 'minyak', 'goreng', 'konfirmasi', 'bahwa', 'klaim', 'promo', 'minyak', 'jujur', 'kecewa', 'beli', 'segar', 'ok']"
119,1,negative,"['teman', 'pesan', 'dicancel', 'buat', 'curang', 'dalam', 'promo', 'aplikasi', 'cancel', 'kembali', 'dana', 'dana', 'proses', 'ditentukankok', 'ngeri']"
120,4,positive,"['senang', 'belanja', 'segar', 'sayur', 'lauk', 'fresh', 'antar', 'sampai', 'rumah', 'kurir', 'ramah', 'moga', 'segar', 'tahan', 'layan']"
121,1,negative,"['sistem', 'segar', 'aneh', 'barang', 'pesan', 'dulu', 'kasih', 'barang', 'ready', 'stok', 'jadi', 'kembali', 'uang', 'saya', 'pesan', 'segar', 'kena', 'cancel', 'uang', 'bentuk', 'poin', 'belnja', 'lagi']"
122,5,positive,"['andi', 'tangsa']"
123,5,positive,['coba']
124,5,positive,"['saya', 'belanja', 'segar', 'selalu', 'fresh', 'kualitas', 'muas', 'terimakasih', 'segar']"
125,5,positive,['okeh']
126,5,positive,"['terimakasihbelanja', 'online', 'segar', 'benar', 'membantumempermudahmenyenangkanpokonya', 'puas', 'deh', 'produk', 'bgssegarharganya', 'jangkau', 'kirim', 'super', 'cepat', 'layan', 'ramahsopan', 'cepat', 'respons', 'tahan', 'baik', 'dari', 'plng', 'baikmaju', 'success', 'selalu', 'segar', 'yuk', 'ikut', 'belanja']"
127,5,positive,"['bantu', 'banget', 'diskon', 'kirim', 'cepat', 'packing', 'barang', 'aman']"
128,1,negative,"['beli', 'segar', 'dulu', 'oke', 'layan', 'bagus', 'suka', 'kasih', 'promo', 'disc', 'kirim', 'banget', 'pesan', 'malam', 'sampai', 'rumah', 'jam', 'set', 'siang', 'bagaimana', 'masak', 'sudah', 'begitu', 'pas', 'sadar', 'pesan', 'lengkap', 'item', 'total', 'sudah', 'barang', 'dapat', 'invoice', 'tunggu', 'refund', 'refund', 'koin', 'beli', 'bukan', 'pepet']"
129,1,negative,"['kirim', 'telat', 'wa', 'cs', 'bilang', 'evaluasi', 'melulupesan', 'telat', 'lagiestimasi', 'jam', 'jam', 'belum', 'dtggimana', 'bahan', 'masak', 'kalau', 'dtgnya', 'atas', 'jam', 'mending', 'belanja', 'pasar', 'harga', 'kualitas', 'terjaminkapok', 'belanja', 'segar']"
130,4,positive,['bagus']
131,5,positive,"['mqntaaaap', 'segar', 'fresh', 'deh', 'pokok', 'top']"
132,5,positive,"['belanja', 'dgan', 'puas', 'tanpa', 'harus', 'keluar', 'rumah', 'cepat', 'praktis', 'good', 'segar']"
133,1,negative,"['puas', 'segar', 'banget']"
134,5,positive,"['kirim', 'cepat', 'kurir', 'ramah']"
135,1,negative,"['telat', 'antar', 'telat', 'konfirmasi', 'tunggu', 'order', 'tiga', 'kecewa', 'otw', 'pindah', 'astro', 'gc', 'cs', 'tim']"
136,1,negative,"['ontime', 'delivery', 'tulis', 'jam', 'kirim', 'gila', 'lu', 'pesan', 'jam', 'sampai', 'jam', 'sampai', 'sen', 'gua', 'cs', 'kece', 'sudah', 'tunggu', 'sampai', 'abad', 'cs', 'tidak', 'respon']"
137,5,positive,"['mantap', 'belanja', 'segariproses', 'cepat', 'kualitas', 'the', 'best']"
138,5,positive,"['mantap', 'selalu', 'sukses']"
139,3,neutral,"['tambah', 'alamat', 'susah', 'titik']"
140,4,positive,"['senang', 'belanja', 'segar', 'sayang', 'lengkap', 'tag', 'barang', 'tahu', 'habis']"
141,3,neutral,"['kok', 'bogor', 'kota', 'belum', 'sedih', 'uhhhh']"
142,5,positive,['bagus']
143,1,negative,"['pesan', 'saya', 'batal', 'konfirmasi', 'cs', 'an', 'aulia', 'lama', 'banget', 'respon']"
144,5,positive,"['terimakasih', 'respon', 'segar', 'keluh', 'moga', 'depan', 'segar', 'pelayanannyasukses', 'segar']"
145,5,positive,"['kirim', 'barang', 'kualitas', 'barang', 'bagus']"
146,5,positive,"['ok', 'banget']"
147,5,positive,"['kali', 'belanja', 'gila', 'puas', 'banget', 'buah', 'sayur', 'segar', 'segar', 'packingnya', 'oke', 'banget']"
148,4,positive,"['bagus', 'fitur', 'lengkap', 'pilihanmau', 'kirim', 'kota', 'kota']"
149,1,negative,"['kali', 'order', 'barang', 'saran', 'barang', 'kosonghabis', 'matiin', 'sampai', 'barang', 'terima', 'suruh', 'refund']"
150,5,positive,"['mau', 'belanja', 'sila', 'pakai', 'link', 'free', 'minyak', 'goreng', 'beli', 'kali', 'belanja', 'ribu', 'free', 'ongkir', 'jadetabek', 'beli', 'kali', 'segar', 'free', 'minyak', 'liter', 'syarat', 'tentu', 'minimal', 'belanja', 'ribu', 'sayur', 'buah', 'daging', 'produk', 'fresh', 'sembako', 'khusus', 'beli', 'maret', 'yuk', 'buru', 'klik', 'link', 'segariidviafreshmart']"
151,5,positive,"['good', 'job', 'banyak', 'lagi', 'promo', 'diskon']"
152,5,positive,"['aplikasi', 'bantu']"
153,5,positive,"['belanja', 'mudah']"
154,1,negative,"['buruk', 'hadap', 'kerja', 'kurir', 'bagai', 'mitra', 'kena', 'tarif', 'kirim', 'manusiawi', 'bawah', 'driver', 'online', 'masih', 'rp', 'kirim', 'jarak', 'maximum', 'kamu', 'harus', 'beli', 'atribut', 'butuh', 'kirim', 'sehrsnya', 'menjd', 'beban', 'usaha', 'seperti', 'tas', 'harga', 'rp', 'ribu', 'eksploitasi', 'manusiawi']"
155,1,negative,"['parah', 'belanja', 'sudah', 'kali', 'belanja', 'pesan', 'sudah', 'busuk', 'rekomendasi', 'pokok']"
156,5,positive,"['segar', 'layan', 'kirim', 'cepat', 'muas']"
157,5,positive,"['belanja', 'gari', 'alhamdulillah', 'puas', 'saran', 'segar', 'kasih', 'harga', 'promo']"
158,5,positive,"['senang', 'belanja', 'segar', 'kurir', 'ramah', 'tamah', 'juga', 'promo', 'tarik']"
159,5,positive,['good']
160,5,positive,"['bahan', 'saya', 'beli', 'segar', 'bagus', 'suka', 'blanja', 'segaritrimakasihsegari', 'ringan', 'kerja', 'bagai', 'rumah', 'tangga']"
161,5,positive,"['barang', 'sedia', 'fresh', 'kirim', 'cepat']"
162,5,positive,"['belanja', 'mudah', 'ribet']"
163,5,positive,"['aplikasi', 'recomended', 'banget', 'bantu', 'sus', 'sibuk', 'kerja', 'belanja', 'pokok', 'tingkat', 'layan']"
164,4,positive,"['kali', 'belanja', 'segarisangat', 'bantu', 'hemat', 'uangharga', 'murah', 'promoproduk', 'sesuai', 'hargaselalu', 'pengirimankurir', 'antar', 'ramah', 'ramahsemoga', 'adakan', 'promo', 'promo']"
165,5,positive,"['segar', 'produk', 'bagus']"
166,5,positive,['muas']
167,5,positive,['mntul']
168,4,positive,"['kirim', 'sesuai', 'barang', 'fresh', 'segar', 'harga', 'jangkau']"
169,1,negative,"['beli', 'buah', 'melon', 'busuk', 'bau', 'tolong', 'layak', 'jual']"
170,1,negative,"['gue', 'beli', 'buah', 'kasih', 'busuk', 'kirim', 'ulang', 'kirim', 'busuk', 'mau', 'apasih', 'not', 'recommended']"
171,5,positive,"['sukses', 'selalu']"
172,5,positive,"['aplikasi', 'bagus', 'tolong', 'luas', 'area', 'sidoarjo', 'surabaya', 'promosi', 'branding', 'merchantnya']"
173,5,positive,"['mudah', 'balik', 'telapak', 'tangan']"
174,5,positive,['good']
175,5,positive,"['benar', 'praktis']"
176,5,positive,['nice']
177,5,positive,"['mudah', 'belanja', 'sembako', 'butuh', 'hari', 'kondisi', 'produkproduk', 'segar', 'harga', 'mahal', 'kadang', 'dapat', 'murah', 'harga', 'pasar', 'enggak', 'murah', 'kondisi', 'produk']"
178,5,positive,"['fresh', 'jaga', 'kualitas', 'kirim', 'cepat', 'thanks']"
179,5,positive,"['mantap', 'fast', 'delivery', 'fresh']"
180,5,positive,['ok']
181,5,positive,"['kirim', 'cepat']"
182,5,positive,['mantaaapsegarsegaar']
183,1,negative,"['cs', 'segar', 'benar', 'bagaimana', 'pesan', 'sudah', 'pakai', 'segar', 'turbo', 'kali', 'ganti', 'durasi', 'kirim', 'bilang', 'daftar', 'area', 'turbo', 'sudah', 'marah', 'wa', 'barang', 'dasar', 'cs', 'tipu', 'sudah', 'kapok', 'belanja', 'karena', 'tetangga', 'mitra', 'jadi', 'download', 'harga', 'ribu', 'wajar', 'tipu', 'tipu']"
184,1,negative,['kecewa']
185,5,positive,"['belanja', 'gari', 'memang', 'menyanangkan']"
186,5,positive,['oke']
187,5,positive,"['harga', 'saing', 'kadang', 'murah', 'tokosupermarketyg', 'penting', 'barngnya', 'fresh', 'garansi', 'keren']"
188,1,negative,"['aplikasi', 'oke', 'oke', 'aplikasi', 'tapi', 'order', 'lagi', 'barang', 'kosong', 'refund', 'masuk', 'coin', 'masuk', 'coin', 'refund', 'pilih', 'bank', 'cek', 'rekening', 'tapi', 'info', 'segar', 'rekening', 'masuk', 'salah', 'ajuin', 'ulang', 'refund', 'ajuin', 'refund', 'langsung', 'coin', 'strategi', 'marketing', 'banget', 'barang', 'kosong', 'pas', 'kirim', 'refund', 'bank', 'coin', 'belanja', 'kapok', 'belanja', 'segar']"
189,1,negative,"['kecewa', 'banget', 'dapat', 'promo', 'harga', 'gila', 'beli', 'beras', 'lagi', 'harga', 'ribu', 'belanja', 'ribu', 'sudah', 'belanja', 'ribu', 'beras', 'kirim', 'aplikasi', 'jual', 'admin', 'copy', 'paste', 'nya', 'klise', 'sedia', 'fluktuatif', 'kirim', 'ulang', 'aplikasi', 'jual', 'arti', 'habis', 'ujung', 'balas', 'cs', 'mantap']"
190,5,positive,"['segar', 'capek', 'belanja', 'hp', 'masuk', 'keranjang', 'tunggu', 'pesan', 'sampai', 'rumah', 'bayar']"
191,5,positive,['praktis']
192,5,positive,"['segar', 'buah', 'murah', 'harga', 'pelayananya', 'ramah', 'sopan', 'terimakasih', 'segar']"
193,5,positive,"['bantu', 'mes', 'sayur', 'butuh', 'dadak']"
194,1,negative,"['kecewa', 'barang', 'sekarang', 'aju', 'refund', 'transfer', 'refund', 'dalam', 'bentuk', 'koin', 'belanja', 'tolong', 'amanah', 'kalau', 'usaha']"
195,5,positive,"['free', 'begitu', 'kalau', 'belanja', 'segar']"
196,5,positive,"['layan', 'cepatmenyenangkan']"
197,5,positive,['puas']
198,5,positive,"['terima', 'kasih', 'mitra', 'segar', 'bantu', 'banget']"
199,1,negative,"['segar', 'memang', 'rasional', 'bagaimana', 'muasin', 'konsumen', 'laku', 'ridernya', 'manusiawi', 'sore', 'rapi', 'anter', 'sudah', 'upah', 'kurir', 'nextday', 'barang', 'telat', 'konsumen', 'kecewa', 'jam', 'panen', 'banget']"
200,1,negative,"['apa', 'sekarang', 'siangjnngn', 'percumah', 'belanja', 'mari', 'barang', 'suka', 'hilang', 'kualitas', 'buruk']"
201,5,positive,"['kualitas', 'ok', 'kirim', 'on', 'timepengepakan', 'safety', 'sayang', 'jangkau', 'dalam']"
202,5,positive,['manfaat']
203,5,positive,"['bantu', 'malas', 'belanja', 'pasar']"
204,5,positive,"['belanja', 'butuh', 'dapurpengiriman', 'waktupastinya', 'segar']"
205,5,positive,"['produk', 'segar', 'lambat', 'notifikasi', 'vocher', 'terbaekkk', 'memamg', 'segar']"
206,5,positive,"['puas', 'banget', 'pakai', 'segar', 'kadang', 'produk', 'murah', 'banding', 'shop', 'besok', 'langsung', 'sampai', 'lambat', 'kirim', 'kasih', 'voucher', 'diskon', 'segar']"
207,5,positive,['puas']
208,5,positive,['cakeeppp']
209,1,negative,"['banget', 'banget', 'segar', 'rider', 'dapat', 'tip', 'aplikasi', 'masih', 'potong', 'ratus', 'ratus', 'perak', 'upah', 'rider', 'customernya', 'upah', 'segar', 'pakai', 'potong']"
210,5,positive,"['layan', 'produk', 'muas']"
211,5,positive,"['saya', 'puas', 'belanja', 'segar', 'aman', 'bareng', 'segar', 'cepat', 'kurir', 'ramah']"
212,5,positive,"['sayur', 'segar', 'datang', 'cepat', 'banget', 'packingan', 'higienis']"
213,5,positive,"['kurir', 'mantap']"
214,5,positive,"['belanja', 'lebih', 'mudah']"
215,5,positive,['puas']
216,5,positive,"['puas', 'segar']"
217,4,positive,[]
218,2,negative,"['harga', 'mahal', 'banget', 'beda', 'banget', 'hatata', 'murah', 'contoh', 'harga', 'cabai', 'gari', 'rp', 'gram', 'hatata', 'gram']"
219,5,positive,"['cepat', 'barang']"
220,5,positive,"['moga', 'manfaat']"
221,5,positive,['keren']
222,5,positive,"['harga', 'promo']"
223,4,positive,"['ku', 'kasih', 'bintangklo', 'promo', 'kasih', 'bintang', 'hheee']"
224,4,positive,"['belanja', 'segar', 'bantu', 'irt', 'mager', 'malas', 'jalan', 'pasar', 'pengin', 'langsung', 'saja', 'mantab', 'pokok']"
225,5,positive,"['produk', 'bagus', 'segar', 'harga', 'jangkau', 'cepat', 'kirim']"
226,5,positive,"['manfaat', 'sekalipromo', 'bnykbertanggung', 'pesan']"
227,1,negative,['puas']
228,5,positive,['good']
229,1,negative,['sombong']
230,5,positive,"['fresh', 'kirim', 'cepat']"
231,5,positive,"['supermarket', 'online', 'bantu', 'banget']"
232,5,positive,"['segar', 'mudah', 'belanja', 'butuh', 'pokok', 'rumah', 'tangga', 'terima', 'kasih', 'segar', 'moga', 'jaga', 'layan', 'segar', 'produk']"
233,2,negative,"['komplein', 'kak']"
234,5,positive,"['barusegarpacking', 'super', 'okterutama', 'ikan', 'ayam', 'daging', 'pakai', 'aluminium', 'foilmantapppp']"
235,1,negative,"['aplikasi', 'jelek', 'banget']"
236,5,positive,[]
237,5,positive,"['mantap', 'barang', 'segar', 'paking', 'rapi', 'ekspedisi', 'aman', 'moga', 'selalu', 'jaga', 'komitmen', 'layan']"
238,5,positive,"['coba', 'barang', 'fresh', 'kirim', 'turbo', 'moga', 'kasih', 'baik', 'langgan', 'ya']"
239,5,positive,"['tahan', 'kualitas', 'bahan', 'layan', 'next', 'moga', 'kabupaten', 'tangerang']"
240,5,positive,['fresh']
241,5,positive,"['mantap', 'cepat', 'kirim', 'barang', 'juga', 'bagus', 'sesuai', 'harga']"
242,5,positive,['muas']
243,1,negative,"['daerah', 'kabupaten', 'malang', 'sedia', 'kak']"
244,1,negative,"['alam', 'kecewa', 'refund', 'koin', 'pesan', 'begitu', 'kirim', 'kendala', 'buang', 'kendala', 'internal', 'segar', 'cs', 'kurir', 'cus', 'bayar', 'barang', 'kualitas', 'selesai', 'buruk', 'terimakasih']"
245,5,positive,['lambat']
246,5,positive,"['bantu', 'butuh', 'hari', 'buah', 'fresh']"
247,1,negative,"['pesan', 'sabtu', 'kirim', 'minggu', 'kirim', 'kirim', 'ulang', 'senin', 'tungguin', 'senin', 'tetap', 'anter', 'kecewa', 'banget', 'anak', 'makan', 'sayur', 'tungguin', 'bangetngga', 'pesan', 'sudah', 'langgan', 'sayang', 'kecewa']"
248,3,neutral,"['cs', 'bagustp', 'kirim']"
249,1,negative,"['pakai', 'app', 'aplikasi', 'guna', 'harga', 'mahal', 'mahal', 'saing', 'pasar']"
250,4,positive,['murah']
251,4,positive,"['nyaman', 'sampai', 'cepat', 'kualitas', 'bagus', 'terima', 'kasih', 'segar']"
252,5,positive,"['bantu', 'rumahdan', 'bahan', 'kirim', 'sesuai', 'nama', 'segarisemua', 'bahan', 'segar']"
